REGION,YEAR,PUBSCEN,value
INDIAREG,2040,BAU,16528.002728570937
INDIAREG,2040,Barriers to Blue Growth,15586.441819142112
INDIAREG,2040,Blue Transformation,16521.389183558236
INDIAREG,2050,BAU,17480.320513508013
INDIAREG,2050,Barriers to Blue Growth,15992.033446285532
INDIAREG,2050,Blue Transformation,18024.149132940318
INDONESIAREG,2000,BAU,4950.2781229
INDONESIAREG,2000,Barriers to Blue Growth,4950.2781229
INDONESIAREG,2000,Blue Transformation,4950.2781229
INDONESIAREG,2010,BAU,7756.83692885
INDONESIAREG,2010,Barriers to Blue Growth,7756.83692885
INDONESIAREG,2010,Blue Transformation,7756.83692885
INDONESIAREG,2020,BAU,12865.1786536
INDONESIAREG,2020,Barriers to Blue Growth,12865.1786536
INDONESIAREG,2020,Blue Transformation,12865.1786536
INDONESIAREG,2030,BAU,14141.947710304144
INDONESIAREG,2030,Barriers to Blue Growth,13725.471504274838
INDONESIAREG,2030,Blue Transformation,14020.861789276169
INDONESIAREG,2040,BAU,14870.552899059487
INDONESIAREG,2040,Barriers to Blue Growth,13986.410859681528
INDONESIAREG,2040,Blue Transformation,15186.01352462152
INDONESIAREG,2050,BAU,15501.80088304399
INDONESIAREG,2050,Barriers to Blue Growth,14118.305525426538
INDONESIAREG,2050,Blue Transformation,16388.629604554408
JAPANREG,2000,BAU,5809.96260575
JAPANREG,2000,Barriers to Blue Growth,5809.96260575
JAPANREG,2000,Blue Transformation,5809.96260575
JAPANREG,2010,BAU,4799.91891805
JAPANREG,2010,Barriers to Blue Growth,4799.91891805
JAPANREG,2010,Blue Transformation,4799.91891805
JAPANREG,2020,BAU,3776.86682
JAPANREG,2020,Barriers to Blue Growth,3776.86682
JAPANREG,2020,Blue Transformation,3776.86682
JAPANREG,2030,BAU,3779.608779938625
JAPANREG,2030,Barriers to Blue Growth,3665.0009719440286
JAPANREG,2030,Blue Transformation,3933.4528384204464
JAPANREG,2040,BAU,3807.632480010303
JAPANREG,2040,Barriers to Blue Growth,3577.1112826059325
JAPANREG,2040,Blue Transformation,4104.643267652288
JAPANREG,2050,BAU,3857.7266624910685
JAPANREG,2050,Barriers to Blue Growth,3494.2426326108493
JAPANREG,2050,Blue Transformation,4253.897473596323
MALAYSIAREG,2000,BAU,1390.55743795
MALAYSIAREG,2000,Barriers to Blue Growth,1390.55743795
MALAYSIAREG,2000,Blue Transformation,1390.55743795
MALAYSIAREG,2010,BAU,1744.1105492
MALAYSIAREG,2010,Barriers to Blue Growth,1744.1105492
MALAYSIAREG,2010,Blue Transformation,1744.1105492
MALAYSIAREG,2020,BAU,1676.79044755
MALAYSIAREG,2020,Barriers to Blue Growth,1676.79044755
MALAYSIAREG,2020,Blue Transformation,1676.79044755
MALAYSIAREG,2030,BAU,1718.4979041160955
MALAYSIAREG,2030,Barriers to Blue Growth,1663.152929420106
MALAYSIAREG,2030,Blue Transformation,1755.783092447482
MALAYSIAREG,2040,BAU,1742.5222578471373
MALAYSIAREG,2040,Barriers to Blue Growth,1630.4412542536004
MALAYSIAREG,2040,Blue Transformation,1836.9760151125029
MALAYSIAREG,2050,BAU,1762.5526635824235
MALAYSIAREG,2050,Barriers to Blue Growth,1598.2061492246557
MALAYSIAREG,2050,Blue Transformation,1918.8691556809872
MEXICOREG,2000,BAU,1394.87830595
MEXICOREG,2000,Barriers to Blue Growth,1394.87830595
MEXICOREG,2000,Blue Transformation,1394.87830595
MEXICOREG,2010,BAU,1677.573297439
MEXICOREG,2010,Barriers to Blue Growth,1677.573297439
MEXICOREG,2010,Blue Transformation,1677.573297439
MEXICOREG,2020,BAU,1810.0151354
MEXICOREG,2020,Barriers to Blue Growth,1810.0151354
MEXICOREG,2020,Blue Transformation,1810.0151354
MEXICOREG,2030,BAU,1871.4701522342318
MEXICOREG,2030,Barriers to Blue Growth,1810.9096129494058
MEXICOREG,2030,Blue Transformation,1903.3172324145223
MEXICOREG,2040,BAU,1901.839260010449
MEXICOREG,2040,Barriers to Blue Growth,1778.6644955185536
MEXICOREG,2040,Blue Transformation,1997.978658823485
MEXICOREG,2050,BAU,1922.4350340315025
MEXICOREG,2050,Barriers to Blue Growth,1735.079808559869
MEXICOREG,2050,Blue Transformation,2091.463299737418
MIDDLEEAST,2000,BAU,951.8202425
MIDDLEEAST,2000,Barriers to Blue Growth,951.8202425
MIDDLEEAST,2000,Blue Transformation,951.8202425
MIDDLEEAST,2010,BAU,1343.57566115
MIDDLEEAST,2010,Barriers to Blue Growth,1343.57566115
MIDDLEEAST,2010,Blue Transformation,1343.57566115
MIDDLEEAST,2020,BAU,2473.22010265
MIDDLEEAST,2020,Barriers to Blue Growth,2473.22010265
MIDDLEEAST,2020,Blue Transformation,2473.22010265
MIDDLEEAST,2030,BAU,2553.056421390713
MIDDLEEAST,2030,Barriers to Blue Growth,2471.8963080870344
MIDDLEEAST,2030,Blue Transformation,2650.052711849102
MIDDLEEAST,2040,BAU,2621.202414633659
MIDDLEEAST,2040,Barriers to Blue Growth,2454.5086739115623
MIDDLEEAST,2040,Blue Transformation,2820.0497662319576
MIDDLEEAST,2050,BAU,2677.2942016833613
MIDDLEEAST,2050,Barriers to Blue Growth,2421.0319169037275
MIDDLEEAST,2050,Blue Transformation,2980.910734934673
NEWZEALANDREG,2000,BAU,648.69577825
NEWZEALANDREG,2000,Barriers to Blue Growth,648.69577825
NEWZEALANDREG,2000,Blue Transformation,648.69577825
NEWZEALANDREG,2010,BAU,553.88014035
NEWZEALANDREG,2010,Barriers to Blue Growth,553.88014035
NEWZEALANDREG,2010,Blue Transformation,553.88014035
NEWZEALANDREG,2020,BAU,532.6057819
NEWZEALANDREG,2020,Barriers to Blue Growth,532.6057819
NEWZEALANDREG,2020,Blue Transformation,532.6057819
NEWZEALANDREG,2030,BAU,531.4500356628154
NEWZEALANDREG,2030,Barriers to Blue Growth,516.7627088558434
NEWZEALANDREG,2030,Blue Transformation,559.8487999166667
NEWZEALANDREG,2040,BAU,532.8394699324518
NEWZEALANDREG,2040,Barriers to Blue Growth,503.37218736719876
NEWZEALANDREG,2040,Blue Transformation,586.380519726477
NEWZEALANDREG,2050,BAU,543.9979546675702
NEWZEALANDREG,2050,Barriers to Blue Growth,489.60215163617875
NEWZEALANDREG,2050,Blue Transformation,607.1096001869678
NORTHERNAF,2000,BAU,1912.36782255
NORTHERNAF,2000,Barriers to Blue Growth,1912.36782255
NORTHERNAF,2000,Blue Transformation,1912.36782255
NORTHERNAF,2010,BAU,2811.7548985000003
NORTHERNAF,2010,Barriers to Blue Growth,2811.7548985000003
NORTHERNAF,2010,Blue Transformation,2811.7548985000003
NORTHERNAF,2020,BAU,3975.9692164000003
NORTHERNAF,2020,Barriers to Blue Growth,3975.9692164000003
NORTHERNAF,2020,Blue Transformation,3975.9692164000003
NORTHERNAF,2030,BAU,4187.383026399001
NORTHERNAF,2030,Barriers to Blue Growth,4070.546013822135
NORTHERNAF,2030,Blue Transformation,4373.618693160991
NORTHERNAF,2040,BAU,4399.329454709854
NORTHERNAF,2040,Barriers to Blue Growth,4150.711724301836
NORTHERNAF,2040,Blue Transformation,4786.379830326494
NORTHERNAF,2050,BAU,4592.285977260498
NORTHERNAF,2050,Barriers to Blue Growth,4204.3487705178495
NORTHERNAF,2050,Blue Transformation,5193.17076420023
PACIFIC_ISLANDS,2000,BAU,278.46683255
PACIFIC_ISLANDS,2000,Barriers to Blue Growth,278.46683255
PACIFIC_ISLANDS,2000,Blue Transformation,278.46683255
PACIFIC_ISLANDS,2010,BAU,477.80323799999996
PACIFIC_ISLANDS,2010,Barriers to Blue Growth,477.80323799999996
PACIFIC_ISLANDS,2010,Blue Transformation,477.80323799999996
PACIFIC_ISLANDS,2020,BAU,534.05372215
PACIFIC_ISLANDS,2020,Barriers to Blue Growth,534.05372215
PACIFIC_ISLANDS,2020,Blue Transformation,534.05372215
PACIFIC_ISLANDS,2030,BAU,534.5626990736312
PACIFIC_ISLANDS,2030,Barriers to Blue Growth,516.7727261021705
PACIFIC_ISLANDS,2030,Blue Transformation,552.4774108714594
PACIFIC_ISLANDS,2040,BAU,534.9835763417145
PACIFIC_ISLANDS,2040,Barriers to Blue Growth,499.3745513148099
PACIFIC_ISLANDS,2040,Blue Transformation,570.8420731589339
PACIFIC_ISLANDS,2050,BAU,535.308618069159
PACIFIC_ISLANDS,2050,Barriers to Blue Growth,481.861725282476
PACIFIC_ISLANDS,2050,Blue Transformation,589.1299113543643
RCAM,2000,BAU,579.23807645
RCAM,2000,Barriers to Blue Growth,579.23807645
RCAM,2000,Blue Transformation,579.23807645
RCAM,2010,BAU,1010.17368335
RCAM,2010,Barriers to Blue Growth,1010.17368335
RCAM,2010,Blue Transformation,1010.17368335
RCAM,2020,BAU,896.1284676
RCAM,2020,Barriers to Blue Growth,896.1284676
RCAM,2020,Blue Transformation,896.1284676
RCAM,2030,BAU,929.0176069835552
RCAM,2030,Barriers to Blue Growth,899.703481882674
RCAM,2030,Blue Transformation,965.4375008702631
RCAM,2040,BAU,952.8778849548527
RCAM,2040,Barriers to Blue Growth,892.6205758500936
RCAM,2040,Blue Transformation,1027.299651938773
RCAM,2050,BAU,971.360464006955
RCAM,2050,Barriers to Blue Growth,878.9308316649672
RCAM,2050,Blue Transformation,1084.6331361237064
RCEU,2000,BAU,8.9664838
RCEU,2000,Barriers to Blue Growth,8.9664838
RCEU,2000,Blue Transformation,8.9664838
RCEU,2010,BAU,29.809507560036852
RCEU,2010,Barriers to Blue Growth,29.809507560036852
RCEU,2010,Blue Transformation,29.809507560036852
RCEU,2020,BAU,29.65424765
RCEU,2020,Barriers to Blue Growth,29.65424765
RCEU,2020,Blue Transformation,29.65424765
RCEU,2030,BAU,31.783300541215308
RCEU,2030,Barriers to Blue Growth,31.06733503071483
RCEU,2030,Blue Transformation,31.990153182458016
RCEU,2040,BAU,34.57380525137309
RCEU,2040,Barriers to Blue Growth,32.62181958661465
RCEU,2040,Blue Transformation,35.68664260997085
RCEU,2050,BAU,36.065616163784384
RCEU,2050,Barriers to Blue Growth,33.04062639226514
RCEU,2050,Blue Transformation,38.66071867945275
ROWE,2000,BAU,5410.56044895
ROWE,2000,Barriers to Blue Growth,5410.56044895
ROWE,2000,Blue Transformation,5410.56044895
ROWE,2010,BAU,5170.64533665
ROWE,2010,Barriers to Blue Growth,5170.64533665
ROWE,2010,Blue Transformation,5170.64533665
ROWE,2020,BAU,5381.9786621
ROWE,2020,Barriers to Blue Growth,5381.9786621
ROWE,2020,Blue Transformation,5381.9786621
ROWE,2030,BAU,5569.519864704782
ROWE,2030,Barriers to Blue Growth,5384.109004386706
ROWE,2030,Blue Transformation,5755.3823300761305
ROWE,2040,BAU,5714.922210821223
ROWE,2040,Barriers to Blue Growth,5334.404231939341
ROWE,2040,Blue Transformation,6096.343277716602
ROWE,2050,BAU,5827.047514717113
ROWE,2050,Barriers to Blue Growth,5245.063434702727
ROWE,2050,Blue Transformation,6410.409454581045
RSAM,2000,BAU,17001.647449149998
RSAM,2000,Barriers to Blue Growth,17001.647449149998
RSAM,2000,Blue Transformation,17001.647449149998
RSAM,2010,BAU,9309.1201474
RSAM,2010,Barriers to Blue Growth,9309.1201474
RSAM,2010,Blue Transformation,9309.1201474
RSAM,2020,BAU,10889.5916624
RSAM,2020,Barriers to Blue Growth,10889.5916624
RSAM,2020,Blue Transformation,10889.5916624
RSAM,2030,BAU,11075.450897431161
RSAM,2030,Barriers to Blue Growth,10725.994749875921
RSAM,2030,Blue Transformation,11517.734882420355
RSAM,2040,BAU,11283.04437245624
RSAM,2040,Barriers to Blue Growth,10570.192075744073
RSAM,2040,Blue Transformation,12158.795665691983
RSAM,2050,BAU,11431.253867915932
RSAM,2050,Barriers to Blue Growth,10347.05142860806
RSAM,2050,Blue Transformation,12722.577314562017
RSAS,2000,BAU,2700.6844422
RSAS,2000,Barriers to Blue Growth,2700.6844422
RSAS,2000,Blue Transformation,2700.6844422
RSAS,2010,BAU,4107.32148285
RSAS,2010,Barriers to Blue Growth,4107.32148285
RSAS,2010,Blue Transformation,4107.32148285
RSAS,2020,BAU,5696.9447074
RSAS,2020,Barriers to Blue Growth,5696.9447074
RSAS,2020,Blue Transformation,5696.9447074
RSAS,2030,BAU,6333.999806000722
RSAS,2030,Barriers to Blue Growth,6153.81813423346
RSAS,2030,Blue Transformation,6247.621094955249
RSAS,2040,BAU,6702.890027975089
RSAS,2040,Barriers to Blue Growth,6316.456156913495
RSAS,2040,Blue Transformation,6793.410462818179
RSAS,2050,BAU,7033.795041214067
RSAS,2050,Barriers to Blue Growth,6421.5556566067835
RSAS,2050,Blue Transformation,7334.889441840203
RSEA_OPA,2000,BAU,7064.32693185
RSEA_OPA,2000,Barriers to Blue Growth,7064.32693185
RSEA_OPA,2000,Blue Transformation,7064.32693185
RSEA_OPA,2010,BAU,9132.10999305
RSEA_OPA,2010,Barriers to Blue Growth,9132.10999305
RSEA_OPA,2010,Blue Transformation,9132.10999305
RSEA_OPA,2020,BAU,8258.3536297
RSEA_OPA,2020,Barriers to Blue Growth,8258.3536297
RSEA_OPA,2020,Blue Transformation,8258.3536297
RSEA_OPA,2030,BAU,8859.128016846622
RSEA_OPA,2030,Barriers to Blue Growth,8594.227006844709
RSEA_OPA,2030,Blue Transformation,8882.379215522804
RSEA_OPA,2040,BAU,9209.401589229377
RSEA_OPA,2040,Barriers to Blue Growth,8654.99755120002
RSEA_OPA,2040,Blue Transformation,9529.51965399261
RSEA_OPA,2050,BAU,9520.274400856215
RSEA_OPA,2050,Barriers to Blue Growth,8646.544601314326
RSEA_OPA,2050,Blue Transformation,10185.477989036433
RSEA_PAC,2000,BAU,2786.0539285
RSEA_PAC,2000,Barriers to Blue Growth,2786.0539285
RSEA_PAC,2000,Blue Transformation,2786.0539285
RSEA_PAC,2010,BAU,5975.86925375
RSEA_PAC,2010,Barriers to Blue Growth,5975.86925375
RSEA_PAC,2010,Blue Transformation,5975.86925375
RSEA_PAC,2020,BAU,9672.0986853
RSEA_PAC,2020,Barriers to Blue Growth,9672.0986853
RSEA_PAC,2020,Blue Transformation,9672.0986853
RSEA_PAC,2030,BAU,10391.646113770397
RSEA_PAC,2030,Barriers to Blue Growth,10098.245110236496
RSEA_PAC,2030,Blue Transformation,10924.625887253787
RSEA_PAC,2040,BAU,10993.22382792847
RSEA_PAC,2040,Barriers to Blue Growth,10364.09290142089
RSEA_PAC,2040,Blue Transformation,12090.411252134863
RSEA_PAC,2050,BAU,11504.536853748468
RSEA_PAC,2050,Barriers to Blue Growth,10507.654814630645
RSEA_PAC,2050,Blue Transformation,13196.663824217474
RUSSIAREG,2000,BAU,4124.0367143
RUSSIAREG,2000,Barriers to Blue Growth,4124.0367143
RUSSIAREG,2000,Blue Transformation,4124.0367143
RUSSIAREG,2010,BAU,4257.3355811
RUSSIAREG,2010,Barriers to Blue Growth,4257.3355811
RUSSIAREG,2010,Blue Transformation,4257.3355811
RUSSIAREG,2020,BAU,5319.908388299999
RUSSIAREG,2020,Barriers to Blue Growth,5319.908388299999
RUSSIAREG,2020,Blue Transformation,5319.908388299999
RUSSIAREG,2030,BAU,5375.082642331835
RUSSIAREG,2030,Barriers to Blue Growth,5197.856372361056
RUSSIAREG,2030,Blue Transformation,5531.801202250001
